Square, Magic
a1, 9259400974873657474
b1, 144152573619814658
c1, 144134983726956577
d1, 9259409638825141376
e1, 144117389591584776
f1, 144132819319390292
g1, 612630836600111360
h1, 432357678185185862
a2, 9233082993344569472
b2, 76631564021137728
c2, 5911047529619457
d2, 148759593919518723
e2, 4755941961184575617
f2, 9368050244173972488
g2, 1153484746785821000
h2, 281477157767424
a3, 75511160614715392
b3, 297238125707608065
c3, 4697536986645340164
d3, 141287378399232
e3, 1153062792253670400
f3, 4644886938682880
g3, 144137178442698754
h3, 6918023807916590081
a4, 9835862446244634632
b4, 13513273857548288
c4, 5101736101412993
d4, 9288712888332288
e4, 2688943648804438144
f4, 3604568562495914112
g4, 311876490398730256
h4, 2306124488485425794
a5, 9605608734982286
b5, 589982821183922178
c5, 306264576641474624
d5, 6935649056609812488
e5, 9223654135490942976
f5, 2452773016346560580
g5, 18023342845988865
h5, 36310907684388935
a6, 288300747054546944
b6, 4508409994952721
c6, 1205202199838736
d6, 175964814442512
e6, 72620682252779528
f6, 9224497971658490128
g6, 4505833028452368
h6, 1154204644348657668
a7, 2378323916067193344
b7, 1152992981461262848
c7, 9547649920016580864
d7, 9015995616232320
e7, 8800407130368
f7, 289919385061041664
g7, 4793940524991488
h7, 4629981917687611648
a8, 2310558815123177473
b8, 603661023928389889
c8, 1338105942507529
d8, 9809121775043223557
e8, 1298183485592187171
f8, 432627056384288833
g8, 563121819288746
h8, 576694939296778
